"","Seagrass.WetMass.g","Macroalgae.WetMass.g","macrophyte_wet_mass_g","Acteocina.inculta","Acteocina.sp.","Alciopidae","Alia.carinata","Allorchestes.angusta","Alvania.compacta","Americhelidium.shoemakeri","Americhelidium.sp.","Americorophium.brevis","Americorophium.spinicorne","Ampelisca.abdita","Amphilochidae","Amphipholis.pugetana","Amphipholis.sp.","Amphipholis.squamata","amphipod.A","amphipod.C","Ampithoe.lacertosa","Ampithoe.plumulosa","Ampithoe.sectimana","Ampithoe.sp.","Ampithoe.valida","Angustassiminea.californica","Anisogammarus.pugettensis","Anobothrus.sp.","Anoplodactylus.viridintestinalis","Aoridae","Aoroides.columbiae","Aoroides.sp.","Aphelochaeta.monilaris","Apolochus.barnardi","Arcuatula.senhousia","Armandia.brevis","Asteroidea","Astyris.gausapata","Astyris.sp.","Axiothella.rubrocincta","BB_bivalves","Bemlos.macromanus","Bemlos.sp.","Bivalve","bivalve.P","Boccardiella.sp.","Brachyura","brown.shiny.worms","Caecum.californicum","Calliopius.carinatus","Calliopius.sp.","Cancer.branneri","Cancer.sp.","Capitella.sp.","Caprella.californica","Caprella.laeviuscula","Caprella.mutica","Caprella.penantis","Caprella.sp.","Carcinus.maenas","Cardiidae","caridea","Caridea","Cephalophoxoides.homilis","Cerithiidae","Chione.undatella","Cirratulidae","Cirriformia.moorei","Cladonema.californicum","Cladonema.sp.","Corophiidae","crab","Crangon.franciscorum","Crangon.nigricauda","Crepidula.sp.","Crucibulum.sp.","Dasybranchus.glabrus","Decapoda","Dorvilleidae","Drilonereis.sp.","Elasmopus.sp.","Emprosthopharynx.gracilis","Eobrolgus.chumashi","Epiactis.prolifera","Erichsonella.crenulata","Ericthonius.brasiliensis","Ericthonius.sp.","Eulalia.sp.","Eumida.sanguinea","Eupolymnia.heterobranchia","Exogone.lourei","Exogone.sp.","Flabelligeridae","Gammaropsis.sp.","Gammarus.sp.","gastropod.A","gastropod.C.","gastropod.D","gastropod.E","gastropod.H","gastropod.I","gastropod.J","gastropod.K","Nassarius.tiarula","gastropod.O","gastropod.Q","gastropod.R","gastropod.S","gastropod.T","gastropod.U","Glyceridae","Gnorimosphaeroma.oregonense","Gnorimosphaeroma.sp.","Grandidierella.japonica","Granulina.margaritula","Haloa.japonica","Halobisium.occidentale","Haminoea.sp.","Haminoea.vesicula","Harmothoe.imbricata","Harmothoe.praeclara","Hemigrapsus.oregonensis","Hemipodia.sp.","Heptacarpus.paludicola","Heptacarpus.sitchensis","Heptacarpus.sp.","Heptacarpus.stimpsoni","Heptacarpus.tenuissimus","Hermissenda.opalescens","hermit.crab","Heterophoxus.sp.","Hippolyte.californiensis","Hippolyte.clarki","Hippolyte.sp.","Hourstonius.vilordes","Ianiropsis.analoga","Idotea.aculeata","Idotea.ochotensis","Idotea.resecata","Idotea.sp.","Incisocalliope.derzhavini","Ischyroceridae","Ischyrocerus.anguipes","Ischyrocerus.sp.","Janiralata.occidentalis","Jassa.sp.","Joeropsis.dubia","Joeropsis.sp.","Juvenile.Sea.Star","juvenile.shrimp","Lacuna.marmorata","Lacuna.sp.","Lacuna.variegata","Lacuna.vincta","Lepidonotus.sp.","Leptochelia.sp.","Leptopecten.latiauratus","Leucothoe.sp.","limpet","Lirularia.sp.","Lirularia.succincta","Listriella.diffusa","Littorinidae","Lottia.pelta","Lottia.sp.","Lumbrinereidae","Maera.jerrica","Maera.sp.","Maldanid","Maldanidae","Marenzelleria.viridis","Mayerella.acanthopoda","Megamoera.dentata","Megamoera.sp.","Megamoera.subtener","Megasyllis.nipponica","Melita.nitida","Metaphoxus.frequens","Mitrella.aurantiaca","Monocorophium.acherusicum","Monocorophium.insidiosum","Monocorophium.sp.","Mysida","Mytilidae","Mytilus.sp.","Nasageneia.quinsana","Naticidae","Neanthes.biseriata","Nebalia.sp.","Nemertean","Nephtys.sp.","Nereid.A","Nereid.B","Nereididae","Nereiphylla.sp.","Nereis.procera","Nereis.sp.","Nudibranchia","Odontosyllis.phosphorea","Oedicerotidae","Oligochinus.lighti","Omalogyroidea","Opheliidae","Oxydromus.pugettensis","Pandalus.danae","Pandalus.stenolepis","Paracalliopiella.sp.","Paracerceis.cordata","Paracerceis.sculpta","Paracerceis.sp.","Paracorophium.sp.","Paradexamine.sp.","Paramicrodeutopus.schmitti","Paranaitis.polynoides","Paranthura.elegans","Paranthura.japonica","Paraonidae","Pentidotea.resecata","Pentidotea.schmitti","Pentidotea.sp.","Perotripus.brevis","Photis.brevipes","Photis.sp.","Phoxocephalidae","Phoxocephalidae.A","Phyllaplysia.taylori","Phyllodoce.sp.","Phyllodocidae","Phyllodocidae.B","Phyllodocidae.C","Pinnixa.sp.","Pinnotheridae","Platynereis.bicanaliculata","Pleocyemata","Podocerus.fulanus","Podocerus.sp.","Polycheria.osborni","Polycirrus.sp.","Polydora.sp.","Polynoid..unknown.","Polynoid.A","Polynoid.B","Polynoid.C","Polynoidae","Pontogeneia.rostrata","Pontogeneia.sp.","Prionospio.lighti","Prionospio.steenstrupi","Protohyale.frequens","Protohyale.sp.","Pseudopolydora.kempi","Pseudopolydora.paucibranchiata","Pugettia.gracilis","Pugettia.producta","Pugettia.richii","Pugettia.sp.","Pyramidellidae","Resupinus.sp.","Rhynchospio.glutaea","ribbed.Macoma","Rissoidae","Romaleon.antennarium","Schistomeringos.longicornis","Scolelepis.sp.","Scyphoproctus.oculatus","sea.urchin","Sphaerosyllis.bilineata","Syllidae","Syllis.sp.","Tectura.depicta","Tellinidae","Terebellidae","Tubificida","Unid.annelid..2","Unid.Annelid..2","Unid.annelid..8","Unid.caenogastropod","Unid.polychaete","Unidentified.isopod","unknown","unknown.amphipod","unknown.amphipod.B","unknown.bivalve","unknown.crab","unknown.gastropod","unknown.gastropod.C","unknown.limpet","unknown.polychaete.A","unknown.worm","unknown.worm.A","unknown.worms","Uromunna.ubiquita","Urothoe.sp.","Veneridae","Volvarina.taeniolata","worm","worm.A","worm.C","worm.E","worm.H","worm.I","worm.J","worm.L","worm.O","Zeuxo.normani","Zygonemertes","Zygonemertes.sp.","richness_sample_all","richness_sample_large","richness_site_all","richness_site_large","epifauna_abundance_total","epifauna_abundance_large","mollusca_abundance_all","mollusca_abundance_large","crustacea_abundance_all","crustacea_abundance_large","amphipod_abundance_all","amphipod_abundance_large","gastropod_abundance_all","gastropod_abundance_large","isopod_abundance_all","isopod_abundance_large","ampithoid_abundance_all","ampithoid_abundance_large","idoteid_abundance_all","idoteid_abundance_large","lacuna_abundance_all","lacuna_abundance_large","region","site","year","site.unique.no.year","simpsons","shannon","invsimpsons"
"BB.C.L6.2021",87.601,48.934,136.535,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,14,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,244,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,259,1,0,43,43,86,86,860,860,0,0,712,712,325,325,0,0,7,7,16,16,0,0,0,0,"BB","C","2021","BB.C",0.7986884802596,2.01807093928377,4.96742561622674
"BB.C.U1.2019",106.35,33.2,139.55,0,0,0,0,25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,23,54,54,475,475,23,23,416,416,405,405,23,23,0,0,159,159,0,0,0,0,"BB","C","2019","BB.C",0.80096620498615,1.89500962769258,5.02427238515154
"BB.C.U1.2020",53.8,1.142,54.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,20,20,76,76,68,68,1,1,47,47,23,23,1,1,4,4,0,0,0,0,0,0,"BB","C","2020","BB.C",0.871441689623508,2.26575988360524,7.77857142857143
"BB.C.U1.2021",32.302,56.944,89.246,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,50,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,35,35,86,86,455,455,0,0,366,366,236,236,0,0,1,1,50,50,0,0,0,0,"BB","C","2021","BB.C",0.866426760053134,2.29873333576607,7.4865294904712
"BB.C.U2.2019",91.68,46.95,138.63,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,54,54,880,880,6,6,829,829,797,797,6,6,0,0,237,237,0,0,0,0,"BB","C","2019","BB.C",0.766071176652546,1.70608462674023,4.27480455674632
"BB.C.U2.2020",83.33,5.46,88.79,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,31,31,76,76,251,251,4,4,181,181,63,63,4,4,2,2,12,12,0,0,0,0,"BB","C","2020","BB.C",0.763956127680513,2.01059406468137,4.23650057158227
"BB.C.U2.2021",37.882,15.036,52.918,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,79,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,24,24,86,86,275,275,0,0,227,227,120,120,0,0,1,1,9,9,1,1,0,0,"BB","C","2021","BB.C",0.788813223140496,1.91191525511397,4.73514495022228
"BB.C.U3.2019",55.59,39.52,95.11,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,54,54,589,589,8,8,554,554,537,537,8,8,0,0,145,145,0,0,0,0,"BB","C","2019","BB.C",0.757334906751816,1.69524500552745,4.12090584028605
"BB.C.U3.2020",122.36,2.81,125.17,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,9,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,34,34,76,76,285,285,10,10,203,203,80,80,10,10,2,2,7,7,0,0,0,0,"BB","C","2020","BB.C",0.810661742074484,2.16812473984658,5.28155276675987
"BB.C.U3.2021",68.322,4.325,72.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,28,28,86,86,305,305,0,0,244,244,97,97,0,0,2,2,4,4,1,1,0,0,"BB","C","2021","BB.C",0.753808864265928,1.85333882526363,4.06188466947961
"BB.D.L4.2019",149.968,7.726,157.694,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,20,52,52,128,128,8,8,65,65,41,41,8,8,24,24,1,1,24,24,3,3,"BB","D","2019","BB.D",0.7808837890625,1.95262503864027,4.56378830083565
"BB.D.L4.2020",79.42,0,79.42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,80,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,493,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,29,54,54,1385,1385,5,5,1348,1348,1280,1280,5,5,65,65,4,4,53,53,5,5,"BB","D","2020","BB.D",0.754294085447242,1.66551192531185,4.06990609819155
"BB.D.L4.2021",32.806,34.677,67.483,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,52,0,0,2,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,204,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,36,36,76,76,594,594,1,1,369,369,339,339,1,1,4,4,7,7,2,2,0,0,"BB","D","2021","BB.D",0.807038062431281,2.06258296231734,5.18236918948781
"BB.D.L5.2019",204.985,6.353,211.338,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,12,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,26,52,52,196,196,3,3,151,151,138,138,3,3,11,11,0,0,9,9,1,1,"BB","D","2019","BB.D",0.697053311120367,1.70378570913772,3.30091080941743
